"","Strain","Run","Estimate","Actual","MIC"
"3","GCGS039","ERR191768","ND","0/4",1
"18","GCGS196","ERR222895","ND","0/4",1
"6","GCGS102","ERR223608","3/4","2/4",2
"25","GCGS228","ERR222927","2/4","2/4",2
"7","GCGS104","ERR223610","2/4","3/4",2
"14","GCGS142","ERR223648","4/4","3/3b",8
"2","GCGS038","ERR191767","4/4","4/4",8
"8","GCGS106","ERR223612","4/4","4/4",8
"10","GCGS118","ERR223624","3/4","4/4",8
"11","GCGS120","ERR223626","4/4","4/4",8
"12","GCGS128","ERR223634","4/4","4/4",8
"13","GCGS136","ERR223642","4/4","4/4",8
"20","GCGS202","ERR222901","4/4","4/4",8
"21","GCGS204","ERR222903","4/4","4/4",8
"23","GCGS224","ERR222923","4/4","4/4",8
"26","GCGS230","ERR222929","4/4","4/4",8
"1","GCGS018","ERR191747","4/4","3/4",16
"4","GCGS096","ERR191825","4/4","4/4",16
"5","GCGS098","ERR223604","4/4","4/4",16
"9","GCGS110","ERR223616","4/4","4/4",16
"15","GCGS156","ERR223662","4/4","4/4",16
"16","GCGS174","ERR223680","4/4","4/4",16
"17","GCGS176","ERR223682","4/4","4/4",16
"19","GCGS198","ERR222897","4/4","4/4",16
"22","GCGS218","ERR222917","4/4","4/4",16
"24","GCGS226","ERR222925","4/4","4/4",16
